<marker>	PM_g_032	PM_g_032	PM_g_053	PM_g_053	PM_g_065	PM_g_065	PM_g_137	PM_g_137	PM_g_210	PM_g_210	PM_g_238	PM_g_238	PM_g_305	PM_g_343	PM_g_343	PM_c_099	PM_c_099	PM_c_297	PM_c_297	PM_c_348	PM_c_348	PM_c_478	PM_c_478	PM_c_595	PM_c_595	PM_c_660	PM_c_660	PM_c_37785	PM_c_37785
PI157542_Run_Chi	NA	NA	NA	NA	NA	NA	NA	NA	195	222	168	182	190	188	220	241	247	240	246	237	242	248	286	259	360	141	230	236	251
PI158854_Val_Chi	NA	NA	134	350	246	255	163	246	195	222	168	182	190	188	220	241	247	240	246	237	241	248	286	NA	NA	135	230	236	251
PI159786_Spa_Sen	NA	NA	NA	NA	NA	NA	NA	NA	195	222	168	182	188	188	222	241	247	241	247	NA	242	248	286	259	360	135	230	236	251
PI162857_Vir_Sud	NA	NA	NA	NA	NA	NA	NA	NA	109	195	NA	NA	199	188	NA	241	247	NA	NA	NA	242	248	286	259	360	141	230	236	251
PI196622_Run_IvC	119	266	134	350	246	255	163	246	NA	NA	168	182	195	NA	NA	241	247	240	246	236	242	248	289	259	360	141	230	236	251
PI196635_Spa_Mad	119	NA	134	350	246	255	165	246	NA	NA	168	182	190	188	220	241	247	240	NA	236	242	248	286	259	360	141	230	236	251
PI200441_Run_Jap	NA	NA	135	350	246	257	167	246	109	195	170	180	190	190	222	241	247	240	246	237	241	248	286	259	360	141	228	236	251
PI240560_Run_SAf	119	272	134	350	246	257	167	246	195	222	NA	NA	190	NA	NA	241	247	240	NA	236	NA	248	286	259	360	141	228	236	251
PI259836_Spa_Mal	117	NA	134	NA	246	255	169	NA	NA	NA	170	180	190	185	216	241	247	240	NA	236	NA	248	280	259	360	141	230	236	251
PI259851_Run_Mal	119	267	134	350	246	255	161	246	195	222	168	182	190	188	222	241	247	240	NA	230	236	248	286	259	360	141	230	236	251
PI262038_Val_Bra	119	267	135	350	246	257	165	246	NA	NA	170	178	188	188	222	241	247	240	NA	231	236	248	286	259	360	141	230	236	251
PI268696_Run_SAf	119	272	134	350	246	257	167	246	195	NA	170	180	190	188	222	241	247	241	247	236	242	248	286	259	360	141	228	236	251
PI268755_Run_Zam	119	267	134	350	246	256	169	246	195	222	170	180	190	188	220	241	247	240	246	237	242	248	286	259	360	135	230	236	251
PI268868_Val_Sud	119	267	134	350	246	255	163	246	195	222	168	182	NA	188	222	241	247	240	246	237	241	248	286	259	360	141	230	236	251
PI268996_Run_Zam	NA	NA	135	350	246	255	163	255	109	131	168	182	190	188	220	241	247	240	246	236	241	248	286	259	360	141	228	236	251
PI274193_Run_Bol	119	266	134	350	246	255	163	255	195	220	168	180	190	NA	218	241	247	240	246	233	242	248	292	259	360	135	230	236	251
PI288146_Spa_Ind	119	267	134	350	246	257	161	246	195	222	170	180	190	188	220	241	247	240	246	236	242	248	286	259	360	141	230	236	251
PI288210_Run_Ind	119	267	134	350	246	255	165	246	195	222	168	180	190	188	218	NA	NA	NA	NA	NA	NA	248	286	259	360	135	230	236	251
PI290536_Spa_Ind	119	268	134	350	246	255	165	246	195	222	168	182	NA	188	220	241	247	241	247	237	242	248	286	259	360	141	230	236	251
