<marker>	PM_g_032	PM_g_032	PM_g_053	PM_g_053	PM_g_065	PM_g_065	PM_g_137	PM_g_137	PM_g_210	PM_g_210	PM_g_238	PM_g_238	PM_g_305	PM_g_343	PM_g_343	PM_c_099	PM_c_099	PM_c_297	PM_c_297	PM_c_348	PM_c_348	PM_c_478	PM_c_478	PM_c_595	PM_c_595	PM_c_660	PM_c_660	PM_c_37785	PM_c_37785
PI290560_Spa_Ind	119	NA	134	NA	246	257	169	257	162	214	NA	NA	190	188	220	241	247	241	NA	230	236	248	286	259	360	141	228	236	251
PI290566_Val_Ind	119	267	134	350	246	255	165	NA	NA	NA	168	182	188	188	220	241	247	241	NA	231	236	248	286	259	360	141	230	236	251
PI296550_Run_Isr	119	266	135	350	246	257	165	246	NA	NA	170	182	190	188	211	241	247	240	246	236	242	248	286	259	360	135	230	236	251
PI296558_Run_Isr	117	NA	115	NA	243	252	163	NA	NA	NA	NA	NA	188	186	212	241	247	240	246	235	242	248	286	259	360	140	229	235	250
PI298854_Run_SAf	NA	NA	NA	NA	NA	NA	NA	NA	195	222	168	182	NA	188	222	241	247	241	NA	230	236	248	286	259	360	135	230	236	251
PI319768_Run_Isr	119	266	134	350	246	255	163	246	195	222	170	180	190	188	222	NA	NA	NA	NA	NA	NA	248	286	259	360	135	230	236	251
PI319770_Run_Isr	119	266	134	350	246	257	165	246	195	214	170	182	190	NA	220	241	247	240	246	236	242	248	286	259	360	135	228	236	251
PI325943_Val_Ven	117	272	134	350	246	255	165	246	NA	NA	NA	NA	NA	NA	NA	241	NA	241	NA	236	NA	248	295	259	360	141	228	236	251
PI337293_Run_Bra	NA	NA	135	350	246	257	169	246	195	222	170	180	190	188	220	241	247	240	246	237	242	248	286	259	360	141	230	236	251
PI337399_Run_Mor	119	265	134	350	246	257	167	244	112	195	170	180	192	186	NA	NA	NA	NA	NA	NA	NA	248	286	259	360	135	228	236	251
PI337406_Val_Par	119	266	135	350	246	255	165	245	195	222	170	180	190	188	214	241	247	240	NA	236	NA	248	286	259	360	135	230	236	251
PI338338_Val_Ven	117	268	134	350	246	255	165	246	195	216	168	182	190	190	222	241	247	240	246	237	241	248	289	259	360	141	228	236	251
PI339960_Val_Arg	119	266	134	350	246	257	165	246	195	216	170	180	190	190	221	241	247	240	246	236	242	248	292	259	360	141	228	236	251
PI343398_Vir_Isr	119	NA	134	350	246	255	163	246	195	222	170	182	NA	188	220	241	247	240	246	236	242	248	286	259	360	141	230	236	251
PI355271_Run_Mex	118	NA	NA	NA	244	253	161	NA	NA	NA	NA	NA	NA	NA	NA	241	247	240	246	236	242	248	286	259	360	135	230	236	251
PI371521_Run_Isr	NA	NA	135	350	246	255	163	246	195	222	168	182	190	188	220	241	247	240	246	236	241	248	286	259	360	141	230	236	251
PI372305_Run_Nig	NA	NA	NA	NA	NA	NA	NA	NA	195	222	168	182	190	188	220	241	247	240	246	236	242	248	280	259	360	135	228	236	251
PI399581_Vir_Nig	119	266	134	350	246	256	163	245	194	NA	168	182	190	188	220	241	247	241	NA	236	NA	248	286	259	360	135	230	236	251
PI403813_Val_Arg	NA	NA	NA	NA	NA	NA	NA	NA	112	NA	NA	NA	190	190	224	241	NA	241	NA	230	236	248	295	259	360	141	228	NA	NA
PI429420_Val_Zim	119	267	134	350	246	255	163	246	195	222	170	180	190	NA	NA	241	247	241	247	236	242	248	286	259	360	141	230	236	251
PI442768_Run_Zim	119	267	134	350	246	255	163	246	195	222	170	180	190	190	NA	241	247	240	246	NA	242	248	289	259	360	141	228	236	251
PI461427_Val_Chi	119	267	134	350	246	257	165	246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	248	295	259	360	141	228	236	251
PI461434_Run_Chi	119	267	134	350	246	255	165	246	195	NA	170	180	190	NA	NA	241	247	240	NA	NA	236	248	286	259	360	135	228	236	251
PI468271_Run_Bol	119	267	134	350	246	254	165	246	195	218	168	182	190	NA	NA	241	247	240	246	236	241	248	289	259	360	141	228	236	251
PI471954_Val_Zim	NA	NA	135	350	246	257	165	246	195	222	170	180	190	NA	NA	241	NA	241	NA	236	NA	248	295	259	360	141	228	236	251
PI475863_Val_Bol	123	285	114	NA	NA	NA	167	NA	NA	NA	NA	NA	195	NA	223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	139	232	240	NA
PI475918_Val_Bol	125	NA	135	350	246	256	165	246	109	222	170	180	190	188	220	241	247	241	NA	230	236	248	292	259	360	141	228	236	251
PI476025_Val_Per	NA	NA	NA	NA	NA	NA	NA	NA	195	222	168	178	188	188	226	NA	NA	NA	NA	NA	NA	248	286	259	NA	141	230	236	251
PI476432_Run_Nig	119	271	134	350	246	254	168	245	195	222	170	180	190	188	220	241	247	240	NA	236	NA	248	286	259	360	135	228	236	251
PI476596_Run_Nig	119	272	134	350	246	257	165	246	109	195	168	180	190	188	220	241	247	240	246	236	242	248	286	259	360	141	230	236	251
PI478850_Val_Uga	119	267	134	350	246	255	167	246	195	216	168	182	190	NA	216	NA	NA	NA	NA	NA	NA	248	289	259	360	141	228	236	251
PI482120_Run_Zim	NA	NA	135	350	246	257	167	246	109	195	170	180	190	NA	NA	241	247	241	NA	236	NA	248	286	259	360	141	228	236	251
PI493329_Val_Arg	NA	287	135	NA	NA	NA	NA	NA	NA	NA	NA	NA	186	187	218	241	247	241	247	237	242	248	295	259	360	135	228	NA	NA
PI493356_Val_Arg	119	267	134	350	246	257	165	246	NA	NA	170	180	188	189	218	NA	NA	241	NA	NA	NA	248	295	259	360	141	228	236	251
PI493547_Val_Arg	NA	NA	134	350	246	257	165	246	NA	NA	170	180	192	194	220	241	NA	241	NA	NA	NA	248	289	259	360	141	228	236	251
PI493581_Val_Arg	119	NA	135	NA	246	257	165	246	195	222	170	180	190	NA	NA	NA	NA	NA	NA	NA	NA	248	295	259	360	141	228	236	251
PI493693_Val_Arg	NA	NA	NA	NA	NA	NA	NA	NA	112	135	NA	NA	187	NA	NA	241	247	240	246	236	242	NA	NA	NA	NA	NA	NA	NA	NA
PI493717_Val_Arg	NA	NA	NA	NA	NA	NA	215	NA	112	135	NA	NA	186	NA	NA	241	NA	240	NA	236	NA	NA	NA	NA	NA	NA	227	NA	NA
PI493729_Val_Arg	NA	239	NA	NA	NA	NA	NA	NA	112	135	NA	NA	188	NA	NA	241	247	240	246	236	242	NA	NA	NA	NA	NA	229	NA	NA
PI493880_Val_Arg	119	NA	113	NA	NA	NA	NA	252	112	135	NA	NA	195	188	215	NA	NA	NA	NA	NA	NA	248	295	259	360	135	228	236	251
PI493938_Val_Arg	119	266	134	350	246	257	167	246	109	222	170	180	191	193	222	241	247	240	246	235	242	248	286	259	360	135	228	236	251
PI494795_Vir_Zam	119	266	134	350	246	255	163	255	194	213	168	180	190	188	216	236	NA	240	NA	236	NA	248	289	259	360	135	228	236	251
PI496401_Val_BuF	NA	NA	NA	NA	NA	NA	NA	NA	120	135	NA	NA	192	189	221	241	NA	240	NA	231	236	NA	NA	NA	NA	NA	230	NA	NA
PI496448_Val_BuF	NA	285	NA	NA	NA	NA	NA	NA	112	134	NA	NA	191	189	221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	229	NA	NA
PI497318_Run_Bol	119	300	134	350	246	255	163	NA	NA	NA	170	180	191	189	218	241	247	240	246	233	242	248	NA	259	360	141	228	236	251
PI497395_Run_Bol	103	NA	134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	233	241	240	NA	236	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI497517_Val_Bra	123	NA	115	NA	NA	NA	NA	NA	112	134	NA	NA	198	189	221	NA	NA	NA	NA	NA	NA	248	295	259	360	135	228	236	251
PI497639_Val_Ecu	NA	NA	135	NA	246	255	165	246	109	216	168	182	190	190	NA	241	NA	240	NA	230	236	248	289	259	360	141	228	236	251
PI502037_Val_Per	119	NA	135	350	246	255	165	246	112	135	168	178	190	190	216	241	247	240	246	236	242	248	283	259	360	135	228	236	251
PI502040_Val_Per	119	267	134	350	246	257	167	246	109	195	168	178	190	188	218	241	247	240	NA	230	236	248	286	259	360	135	228	236	251
PI502111_Val_Per	119	267	134	350	246	257	163	246	195	222	168	176	190	188	220	241	247	240	246	236	242	248	313	259	360	135	228	236	251
PI502120_Val_Per	114	NA	134	350	246	255	165	246	109	220	168	178	190	NA	NA	241	247	240	NA	236	NA	248	274	259	360	135	230	236	251
