SOUTH_DAKOTA ARKANSAS	2
PENNSYLVANIA OKLAHOMA	2
SOUTH_DAKOTA OHIO	2
OKLAHOMA COLORADO	2
MISSOURI MICHIGAN	2
VIRGINIA NEW_HAMPSHIRE	2
TEXAS MISSOURI	2
UTAH MASSACHUSETTS	2
TEXAS MONTANA	2
COLORADO ALABAMA	2
KANSAS ARKANSAS	2
WISCONSIN WEST_VIRGINIA	2
MISSISSIPPI KENTUCKY	2
VERMONT MISSOURI	2
OHIO ARKANSAS	2
TENNESSEE ALABAMA	2
OREGON NORTH_CAROLINA	2
PENNSYLVANIA MARYLAND	2
NEBRASKA GEORGIA	2
WISCONSIN ILLINOIS	2
WYOMING RHODE_ISLAND	2
MONTANA MISSISSIPPI	2
WEST_VIRGINIA VIRGINIA	2
PENNSYLVANIA OREGON	2
KENTUCKY INDIANA	2
NEW_MEXICO ARKANSAS	2
SOUTH_CAROLINA INDIANA	2
MISSOURI IDAHO	2
IOWA GEORGIA	2
TENNESSEE MASSACHUSETTS	2
TEXAS TENNESSEE	2
WYOMING NEVADA	2
WYOMING NEW_YORK	2
NEBRASKA IOWA	2
SOUTH_DAKOTA KENTUCKY	2
KANSAS DELAWARE	2
UTAH COLORADO	2
OHIO DELAWARE	2
NEBRASKA KENTUCKY	2
NEVADA INDIANA	2
MASSACHUSETTS COLORADO	2
WEST_VIRGINIA WASHINGTON	2
MARYLAND CALIFORNIA	2
UTAH MISSOURI	2
NEBRASKA MICHIGAN	2
NEW_JERSEY ALABAMA	2
NORTH_CAROLINA NEW_HAMPSHIRE	2
NEW_HAMPSHIRE KENTUCKY	2
OKLAHOMA ARKANSAS	2
PENNSYLVANIA NEW_JERSEY	2
SOUTH_CAROLINA MONTANA	2
NORTH_DAKOTA ALABAMA	2
NORTH_CAROLINA MINNESOTA	2
GEORGIA CONNECTICUT	2
KENTUCKY ARIZONA	2
NEW_YORK MARYLAND	2
IDAHO CONNECTICUT	2
MICHIGAN ILLINOIS	2
COLORADO CALIFORNIA	2
TENNESSEE MICHIGAN	2
NEBRASKA KANSAS	2
UTAH TENNESSEE	2
VERMONT NORTH_DAKOTA	2
VIRGINIA GEORGIA	2
TENNESSEE COLORADO	2
RHODE_ISLAND MICHIGAN	2
UTAH NORTH_DAKOTA	2
TEXAS DELAWARE	2
RHODE_ISLAND NEBRASKA	2
MASSACHUSETTS ILLINOIS	2
TENNESSEE SOUTH_DAKOTA	2
OHIO NEW_MEXICO	2
CONNECTICUT ARIZONA	2
NORTH_CAROLINA IDAHO	2
IOWA ARKANSAS	2
PENNSYLVANIA NEVADA	2
TENNESSEE MISSOURI	2
MONTANA FLORIDA	2
OKLAHOMA FLORIDA	2
WYOMING WEST_VIRGINIA	2
WISCONSIN LOUISIANA	2
NEW_YORK MISSISSIPPI	2
OREGON ARIZONA	2
VERMONT OHIO	2
OKLAHOMA NEW_MEXICO	2
ILLINOIS IDAHO	2
SOUTH_DAKOTA IOWA	2
NEW_YORK MAINE	2
NEW_MEXICO ARIZONA	2
MINNESOTA GEORGIA	2
MINNESOTA CALIFORNIA	2
WYOMING INDIANA	2
VIRGINIA MINNESOTA	2
IOWA IDAHO	2
WASHINGTON OKLAHOMA	2
UTAH ARIZONA	2
NEW_JERSEY COLORADO	2
NEW_YORK ILLINOIS	2
WISCONSIN MISSOURI	2
WEST_VIRGINIA SOUTH_DAKOTA	2
NEVADA LOUISIANA	2
NEVADA MISSOURI	2
MISSISSIPPI MINNESOTA	2
VIRGINIA KANSAS	2
WYOMING MARYLAND	2
NEW_YORK LOUISIANA	2
PENNSYLVANIA IOWA	2
KENTUCKY ILLINOIS	2
MASSACHUSETTS IDAHO	2
OREGON NEW_MEXICO	2
